row,col,x,y
0,0,1109.000,368.000
0,1,1172.690,367.517
0,2,1236.379,367.034
0,3,1300.069,366.552
0,4,1363.759,366.069
0,5,1427.448,365.586
0,6,1491.138,365.103
0,7,1554.828,364.621
0,8,1618.517,364.138
0,9,1682.207,363.655
0,10,1745.896,363.172
0,11,1809.586,362.690
0,12,1873.276,362.207
0,13,1936.965,361.724
0,14,2000.655,361.241
0,15,2064.345,360.759
0,16,2128.035,360.276
0,17,2191.724,359.793
0,18,2255.414,359.310
0,19,2319.104,358.828
0,20,2382.793,358.345
0,21,2446.483,357.862
0,22,2510.172,357.379
0,23,2573.862,356.897
0,24,2637.552,356.414
0,25,2701.241,355.931
0,26,2764.931,355.448
0,27,2828.621,354.966
0,28,2892.310,354.483
0,29,2956.000,354.000
1,0,1058.059,382.294
1,1,1125.422,381.813
1,2,1192.785,381.333
1,3,1260.148,380.852
1,4,1327.511,380.371
1,5,1394.874,379.890
1,6,1462.237,379.410
1,7,1529.600,378.929
1,8,1596.964,378.448
1,9,1664.327,377.968
1,10,1731.690,377.487
1,11,1799.053,377.006
1,12,1866.416,376.525
1,13,1933.779,376.045
1,14,2001.142,375.564
1,15,2068.505,375.083
1,16,2135.868,374.602
1,17,2203.231,374.122
1,18,2270.594,373.641
1,19,2337.958,373.160
1,20,2405.321,372.680
1,21,2472.684,372.199
1,22,2540.047,371.718
1,23,2607.410,371.237
1,24,2674.773,370.757
1,25,2742.136,370.276
1,26,2809.499,369.795
1,27,2876.862,369.314
1,28,2944.225,368.834
1,29,3011.588,368.353
2,0,1007.118,396.588
2,1,1078.154,396.109
2,2,1149.191,395.631
2,3,1220.227,395.152
2,4,1291.264,394.673
2,5,1362.300,394.195
2,6,1433.337,393.716
2,7,1504.373,393.237
2,8,1575.410,392.759
2,9,1646.446,392.280
2,10,1717.483,391.801
2,11,1788.519,391.323
2,12,1859.556,390.844
2,13,1930.592,390.365
2,14,2001.629,389.886
2,15,2072.665,389.408
2,16,2143.702,388.929
2,17,2214.739,388.450
2,18,2285.775,387.972
2,19,2356.811,387.493
2,20,2427.848,387.014
2,21,2498.884,386.535
2,22,2569.921,386.057
2,23,2640.958,385.578
2,24,2711.994,385.099
2,25,2783.031,384.621
2,26,2854.067,384.142
2,27,2925.104,383.663
2,28,2996.140,383.185
2,29,3067.177,382.706
3,0,956.177,410.882
3,1,1030.886,410.406
3,2,1105.596,409.929
3,3,1180.306,409.452
3,4,1255.016,408.976
3,5,1329.726,408.499
3,6,1404.436,408.022
3,7,1479.146,407.546
3,8,1553.856,407.069
3,9,1628.566,406.592
3,10,1703.276,406.116
3,11,1777.986,405.639
3,12,1852.696,405.162
3,13,1927.406,404.686
3,14,2002.116,404.209
3,15,2076.826,403.732
3,16,2151.536,403.256
3,17,2226.246,402.779
3,18,2300.956,402.302
3,19,2375.665,401.826
3,20,2450.375,401.349
3,21,2525.085,400.872
3,22,2599.795,400.396
3,23,2674.505,399.919
3,24,2749.215,399.442
3,25,2823.925,398.966
3,26,2898.635,398.489
3,27,2973.345,398.012
3,28,3048.055,397.536
3,29,3122.765,397.059
4,0,905.235,425.176
4,1,983.619,424.702
4,2,1062.002,424.227
4,3,1140.385,423.753
4,4,1218.769,423.278
4,5,1297.152,422.803
4,6,1375.536,422.329
4,7,1453.919,421.854
4,8,1532.302,421.379
4,9,1610.686,420.905
4,10,1689.069,420.430
4,11,1767.452,419.955
4,12,1845.836,419.481
4,13,1924.219,419.006
4,14,2002.602,418.531
4,15,2080.986,418.057
4,16,2159.369,417.582
4,17,2237.753,417.108
4,18,2316.136,416.633
4,19,2394.519,416.158
4,20,2472.903,415.684
4,21,2551.286,415.209
4,22,2629.669,414.734
4,23,2708.053,414.260
4,24,2786.436,413.785
4,25,2864.820,413.310
4,26,2943.203,412.836
4,27,3021.586,412.361
4,28,3099.970,411.886
4,29,3178.353,411.412
5,0,854.294,439.471
5,1,936.351,438.998
5,2,1018.408,438.525
5,3,1100.465,438.053
5,4,1182.521,437.580
5,5,1264.578,437.108
5,6,1346.635,436.635
5,7,1428.692,436.162
5,8,1510.749,435.690
5,9,1592.805,435.217
5,10,1674.862,434.744
5,11,1756.919,434.272
5,12,1838.976,433.799
5,13,1921.033,433.327
5,14,2003.089,432.854
5,15,2085.146,432.381
5,16,2167.203,431.909
5,17,2249.260,431.436
5,18,2331.316,430.963
5,19,2413.373,430.491
5,20,2495.430,430.018
5,21,2577.487,429.546
5,22,2659.544,429.073
5,23,2741.601,428.600
5,24,2823.657,428.128
5,25,2905.714,427.655
